state,district,metric,volume_classification,historical_mean,historical_total,forecast_periods,forecast_mean,forecast_max,forecast_trend,confidence_lower,confidence_upper,model_order,data_points
Chhattisgarh,Durg,demo_total,high_volume,609.8510638297872,57326,30,161.96827850682473,213.3832608709903,-2.7299303640820947,-4186.62528129617,4510.561838309819,"(2, 0, 0)",94
Dadra & Nagar Haveli,Dadra & Nagar Haveli,demo_total,low_volume,2.8620689655172415,166,14,2.8620689655172415,2.862068965517242,0.0,-0.5608276173117643,6.284965548346249,"(0, 0, 0)",58
Dadra And Nagar Haveli,Dadra And Nagar Haveli,demo_total,low_volume,51.52272727272727,4534,14,31.0,31.0,0.0,-325.2641720027081,387.2641720027081,"(0, 1, 0)",88
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,demo_total,low_volume,16.61904761904762,1396,14,16.25228424901317,16.58958765376643,0.2588845931146073,-4.819631967957811,37.32420046598414,"(1, 0, 0)",84
Dadra And Nagar Haveli And Daman And Diu,Daman,demo_total,low_volume,13.592592592592593,1101,14,13.59259259259259,13.592592592592593,0.0,-50.94401671704491,78.1292019022301,"(0, 0, 0)",81
Dadra And Nagar Haveli And Daman And Diu,Diu,demo_total,low_volume,4.672413793103448,271,14,4.67241379310345,4.672413793103449,0.0,-27.023944051204637,36.36877163741154,"(0, 0, 0)",58
Daman & Diu,Daman,demo_total,low_volume,4.523076923076923,294,14,4.523076923076923,4.523076923076924,0.0,-1.342804117410307,10.388957963564156,"(0, 0, 0)",65
Daman & Diu,Diu,demo_total,low_volume,2.791044776119403,187,14,2.392554790089648,2.6999061080301363,0.024138873917693187,-1.770500215883978,6.555609796063275,"(1, 0, 2)",67
Daman And Diu,Daman,demo_total,low_volume,10.505882352941176,893,14,10.505882352941175,10.505882352941178,0.0,-31.921924199638386,52.93368890552073,"(0, 0, 0)",85
Daman And Diu,Diu,demo_total,low_volume,4.628205128205129,361,14,4.628205128205125,4.628205128205126,0.0,-2.1548429155215523,11.411253171931804,"(0, 0, 0)",78
Delhi,North West Delhi,demo_total,high_volume,2293.7368421052633,217905,30,1005.7428944205636,1287.9885770858673,2.011560343906778,-105584.54152503442,107596.02731387553,"(3, 2, 0)",95
Delhi,West Delhi,demo_total,high_volume,1659.0,157605,30,49.93027817249396,685.9940349698537,-22.866467832328457,-12916.19843714689,9633.192343619605,"(3, 1, 0)",95
Delhi,South Delhi,demo_total,high_volume,1561.4842105263158,148341,30,22.8,412.0,-13.733333333333333,-302931.67426649696,298419.67426649696,"(0, 2, 0)",95
Delhi,East Delhi,demo_total,high_volume,1252.1263157894737,118952,30,477.27539838820303,478.069510063295,0.7941116750919093,-9586.350854892191,10540.901651668593,"(0, 1, 2)",95
Delhi,South West Delhi,demo_total,high_volume,1213.2526315789473,115259,30,3.7,111.0,-3.7,-263178.2970299494,255570.29702994935,"(0, 2, 0)",95
Delhi,North East Delhi,demo_total,high_volume,968.4255319148937,91032,30,3.668484726632148,110.05454179896444,-3.668484726632148,-6801.244222797674,4068.1057373315534,"(4, 1, 1)",94
Delhi,North Delhi,demo_total,high_volume,596.1521739130435,54846,30,242.24891404458523,242.2489140445853,0.0,-4882.678819278921,5367.176647368091,"(0, 1, 1)",92
Delhi,Central Delhi,demo_total,low_volume,345.22340425531917,32451,14,0.0,0.0,0.0,-5094.023368575526,4632.857683739089,"(1, 0, 2)",94
Delhi,Shahdara,demo_total,low_volume,213.67741935483872,19872,14,60.4852732198706,121.95144133419524,-6.0053800935678385,-1536.6975352950824,1657.6680817348238,"(2, 0, 0)",93
Delhi,North East,demo_total,low_volume,110.0909090909091,9688,14,110.09090909090908,110.0909090909091,0.0,-487.91981239490815,708.1016305767263,"(0, 0, 0)",88
Goa,North Goa,demo_total,low_volume,160.57142857142858,14612,14,160.5714285714285,160.57142857142856,0.0,-486.99727320341873,808.1401303462759,"(0, 0, 0)",91
Goa,South Goa,demo_total,low_volume,143.3956043956044,13049,14,143.39560439560435,143.39560439560435,0.0,-443.4954796113352,730.2866884025441,"(0, 0, 0)",91
Gujarat,Surat,demo_total,high_volume,2707.757894736842,257237,30,14.842435755247429,445.27307265742286,-14.842435755247429,-177847.44542422192,159706.30054190746,"(1, 2, 0)",95
Gujarat,Rajkot,demo_total,high_volume,1043.3684210526317,99120,30,835.1104903224607,934.8740654298235,5.444540396102627,-19691.163981324007,21361.384961968928,"(5, 2, 0)",95
Gujarat,Vadodara,demo_total,high_volume,836.0978260869565,76921,30,2294.15365247281,3008.813243612927,77.36046030603339,-11113.915062919701,15702.22236786532,"(1, 0, 1)",92
Gujarat,Banaskantha,demo_total,high_volume,611.1935483870968,56841,30,533.0934277438016,644.223824287255,-6.969721869797998,-5487.958690838262,6554.145546325864,"(1, 0, 0)",93
Gujarat,Kachchh,demo_total,low_volume,508.33684210526314,48292,14,37.879114012267905,211.82134522359596,-15.13009608739971,-2595.5521607761875,2331.7559822932817,"(0, 1, 1)",95
Gujarat,Bhavnagar,demo_total,low_volume,513.5869565217391,47250,14,191.33534058019902,246.6339028215282,-7.301446448490688,-5980.917401967365,6363.588083127762,"(1, 0, 0)",92
Gujarat,Jamnagar,demo_total,low_volume,401.4782608695652,36936,14,465.2055376364181,600.4368605504217,-17.848262332458184,-5859.456384287325,6789.86745956016,"(1, 0, 1)",92
Haryana,Faridabad,demo_total,high_volume,1168.8947368421052,111045,30,14.850761532056168,277.3458597952859,-9.244861993176196,-47335.930788869904,43521.37169473745,"(3, 2, 0)",95
Haryana,Gurgaon,demo_total,high_volume,912.4526315789474,86683,30,479.99229177975275,479.99229177975286,0.0,-5276.792530776265,6236.77711433577,"(0, 1, 1)",95
Haryana,Hisar,demo_total,low_volume,485.10526315789474,46085,14,91.11176723675153,249.15385140029113,-16.487090213412472,-2864.288678758912,3046.5122132324145,"(3, 2, 1)",95
Haryana,Mewat,demo_total,low_volume,471.05263157894734,44750,14,361.66870985162575,361.6687098516257,0.0,-1826.3682819214766,2549.7057016247286,"(0, 1, 1)",95
Haryana,Palwal,demo_total,low_volume,459.62105263157895,43664,14,299.4088761899332,350.1108593403933,-3.540674195478305,-2281.619051493318,2880.4368038731845,"(3, 1, 1)",95
Haryana,Sonipat,demo_total,low_volume,451.9789473684211,42938,14,70.44776428780564,274.0857376170887,-19.577552686934904,-2972.300485907952,3094.8557010118266,"(2, 2, 1)",95
Haryana,Panipat,demo_total,low_volume,451.6063829787234,42451,14,335.2855508803796,396.8879792689228,18.250833130433854,-1945.8657080929456,2616.4368098537047,"(1, 0, 0)",94
Haryana,Sirsa,demo_total,low_volume,432.4842105263158,41086,14,120.6577121951956,126.46902065134118,-0.8182366737390956,-2358.0097511542417,2599.3251755446336,"(1, 0, 1)",95
Haryana,Yamuna Nagar,demo_total,low_volume,413.2736842105263,39261,14,160.74851097151472,173.61933198756176,-0.9704179656592758,-2003.087339613974,2324.5843615570043,"(1, 1, 1)",95
Haryana,Karnal,demo_total,low_volume,361.5684210526316,34349,14,2.003598828393401,28.05038359750762,-2.003598828393401,-8859.001810327605,8286.734103709297,"(2, 2, 0)",95
Himachal Pradesh,Kangra,demo_total,low_volume,287.57142857142856,26169,14,72.86265737478388,119.4166863580066,-5.701508023174864,-2423.648388227739,2569.373702977306,"(1, 0, 0)",91
Himachal Pradesh,Chamba,demo_total,low_volume,170.69565217391303,15704,14,108.08158566770997,108.08158566770996,0.0,-707.4300940745064,923.5932654099266,"(0, 1, 1)",92
Himachal Pradesh,Sirmaur,demo_total,low_volume,156.6421052631579,14881,14,10.979701605812647,87.1174542768949,-6.222675305492493,-935.6321859578795,814.1905876906482,"(2, 1, 2)",95
Himachal Pradesh,Mandi,demo_total,low_volume,139.5164835164835,12696,14,139.51648351648353,139.51648351648353,0.0,-464.012645256803,743.0456122897702,"(0, 0, 0)",91
Himachal Pradesh,Shimla,demo_total,low_volume,135.57142857142858,12337,14,62.1103925887247,65.1019188918899,0.3500544165919714,-900.0940144559019,1024.3147996333514,"(1, 1, 0)",91
Himachal Pradesh,Una,demo_total,low_volume,81.58695652173913,7506,14,28.0,28.0,0.0,-350.49904707888857,406.49904707888857,"(0, 1, 0)",92
Himachal Pradesh,Kullu,demo_total,low_volume,80.23076923076923,7301,14,80.23076923076925,80.23076923076923,0.0,-158.32986605759112,318.7914045191297,"(0, 0, 0)",91
Himachal Pradesh,Solan,demo_total,low_volume,79.41758241758242,7227,14,53.07851921118531,56.70661110614174,-0.5078357109770367,-283.31965808322326,389.47669650559385,"(1, 0, 1)",91
Himachal Pradesh,Hamirpur,demo_total,low_volume,58.98913043478261,5427,14,63.09450256927511,77.60746199271138,-1.116381494110481,-62.199983798028775,188.3889889365791,"(0, 0, 1)",92
Himachal Pradesh,Bilaspur,demo_total,low_volume,56.344086021505376,5240,14,18.0,18.0,0.0,-312.4298686084694,348.4298686084694,"(0, 1, 0)",93
Jammu & Kashmir,Jammu,demo_total,low_volume,2.3384615384615386,152,14,2.338461538461538,2.338461538461539,0.0,-0.00031456716708122556,4.677237644090157,"(0, 0, 0)",65
Jammu & Kashmir,Baramula,demo_total,low_volume,1.6170212765957446,76,14,1.636058644940143,1.794792213908059,-0.012210274535993548,0.14671315117979264,3.1254041387004934,"(0, 0, 1)",47
Jammu & Kashmir,Kathua,demo_total,low_volume,1.5,36,14,1.5000000000000004,1.5000000000000007,0.0,-0.6913063514414535,3.6913063514414546,"(0, 0, 0)",24
Jammu And Kashmir,Kupwara,demo_total,low_volume,312.33684210526314,29672,14,12.442308819931062,174.19232347903488,-12.442308819931062,-2315.0291116033322,1731.0124815278516,"(0, 1, 2)",95
Jammu And Kashmir,Jammu,demo_total,low_volume,281.5698924731183,26186,14,79.36564862490665,113.14122451912189,-4.321341428352809,-2883.1523277894603,3041.883625039274,"(1, 0, 0)",93
