metric,forecast_type,forecast_periods,model_order,aic,mae,rmse,mape
bio_total,short_term,62,"(0, 0, 0)",7530.939937967929,146567.68242064872,165773.38504397383,13453.747379160759
bio_total,medium_term,124,"(0, 0, 0)",7530.939937967929,146567.68242064872,165773.38504397383,13453.747379160759
demo_total,short_term,62,"(0, 0, 0)",7143.992714276782,188930.39978348275,211151.31512383578,64.64661805692356
demo_total,medium_term,124,"(0, 0, 0)",7143.992714276782,188930.39978348275,211151.31512383578,64.64661805692356
enrol_total,short_term,62,"(0, 1, 2)",5959.404757043949,32174.829481692075,42711.39288083907,127.68843476074994
enrol_total,medium_term,124,"(0, 1, 2)",5959.404757043949,32174.829481692075,42711.39288083907,127.68843476074994
